IdCarrera,cveCarrera,Carrera,noRvoe
1,621303,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,20192819
2,615305,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS,20192820
3,611310,LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN,20192815
4,621317,LICENCIATURA EN COMERCIO INTERNACIONAL,20080092
5,607316,LICENCIATURA EN CONTADURÍA PÚBLICA,2006136
6,612301,LICENCIATURA EN DERECHO,20192818
7,771302,LICENCIATURA EN DISEÑO GRÁFICO,20192816
8,207380,LICENCIATURA EN ENSEÑANZA DE LA LENGUA INGLESA,2006444
9,615318,LICENCIATURA EN GASTRONOMÍA,20192817
10,521312,LICENCIATURA EN INGENIERÍA EN SISTEMAS COMPUTACIONALES,2006135
11,521315,LICENCIATURA EN INGENIERÍA INDUSTRIAL Y DE SISTEMAS,20080179
12,514384,LICENCIATURA EN INGENIERÍA MECATRÓNICA,20080093
13,622306,LICENCIATURA EN MERCADOTECNIA,20080094
14,231301,LICENCIATURA EN PSICOLOGÍA,20081467
